"Table 1.  National Fixed Site Network sites
[* indicates sites in which loads have inidcates historically been computed as part of the National Stream Quality Accounting Network, Mississippi-Atchafalaya River Basin Subnetwork; USGS, U.S. Geological Survey; --, site in which loads are not yet computed]",Column,Column2,Column3,Column4,Column5
"Frio River at Concan, TX",08195000,08195000,Reference, 	389 ,--
"Rio Grande at El Paso, TX",08364000,08-3640.00 (International Boundary and Water Commission),Large inland rivers," 	32,210 ",1993-2015
"Rio Grande near Brownsville, TX",08475000,08-4750.00 (International Boundary and Water Commission),Coastal rivers," 	176,333 ",1994-2015
Colorado River near Colorado-Utah State Line,09163500,09163500,Large inland rivers," 	17,849 ",1993-2006; 2008; 2012-2015
"Pine Creek above Freemont Lake, WY",09196500,09196500,Reference, 	76 ,2003-2015
"Vallecito Creek near Bayfield, CO",09352900,09352900,Reference, 	73 ,1999-2015
"Colorado River at Lees Ferry, AZ",09380000,09380000,Large inland rivers," 	111,800 ",1993-2015
"West Clear Creek near Camp Verde, AZ",09505800,09505800,Reference, 	241 ,1996-2007; 2013-2015
"Colorado River at NIB, above Morelos Dam, AZ",09522000,09522000,Coastal rivers," 	246,700 ",1993-2015
"Little Cottonwood Creek at Salt Lake City, UT",10168000,10168000,Urban, 	46 ,199-2007; 2009; 2011; 2013-2015
"Jordan River at Salt Lake City, UT",10171000,10171000,Large inland rivers," 	3,438 ",1999-2003; 2010; 2013-2015
"Red Butte Creek at Fort Douglas near Salt Lake City, UT",10172200,10172200,Reference, 	7 ,1993-1996; 1999-2006; 2008; 2012-2015
Sagehen C nr Truckee CA,10343500,10343500,Reference, 	11 ,2001-2015
"Truckee River at Clark, NV",10350340,10350340,Large inland rivers," 	1,580 ",2013-2015
"Santa Ana River below Prado Dam, CA",11074000,11074000,Coastal rivers," 	2,258 ",1993-1994; 1997-2015
"Marble Fork Kaweah R AB Tokapah Falls nr Kaweah, CA",11206800,11206820,Reference, 	8 ,--
"Merced R at Happy Isles Bridge nr Yosemite, CA",11264500,11264500,Reference, 	181 ,2001-2015
"Orestimba Creek near Crows Landing, CA",11274538,11274538,Agriculture,.,1993-2006
"San Joaquin River near Vernalis, CA",11303500,11303500,Coastal rivers," 	13,539 ",1993-2015
"Sacramento River at Freeport, CA5",11447650,11447650,Coastal rivers,.,1993-2015
"North Fork Skokomish River near Hdsprt, WA",12056500,12056500,Reference, 	57 ,1996-1998; 2001-2006
"Andrews Creek near Mazama, WA",12447390,12447390,Reference, 	22 ,2004-2015
"Granger Drain at Granger, WA",12505450,12505450,Agriculture, 	62 ,2002-2004
"Yakima River at Kiona, WA",12510500,12510500,Large inland rivers," 	5,615 ",1999-2008; 2012-2015
"Henry's Fork near Rexburg, ID",13056500,13056500,Large inland rivers," 	2,920 ",1993-1996; 1998; 2006; 2007; 2010; 2014-2015
"Rock Creek at Twin Falls, ID 2",13092747,13092747,Agriculture, 	259 ,1993-2008; 2012-2015
"Snake River at King Hill, ID",13154500,13154500,Large inland rivers," 	35,800 ",1993-2007; 2011-2015
"Lookout Creek near Blue River, OR",14161500,14161500,Reference, 	24 ,2003-2015
"Zollner Creek near Mt. Angel, OR",14201300,14201300,Agriculture, 	15 ,1993-2008; 2012-2015
"East Fork Dairy Creek near Meachan Corner, OR",14205400,14205400,Reference, 	34 ,2002-2006; 2013-2015
"Fanno Creek at Durham, OR",14206950,14206950,Urban, 	32 ,1994-1996; 2001-2015
"Willamette River at Portland, OR5",14211720,14211720,Large inland rivers," 	11,200 ",1993-2015
"Columbia River near Beaver Army Terminal, OR",14246900,14246900,Coastal rivers," 	256,900 ",1993-2015
"Talkeetna R nr Talkeetna, AK",15292700,15292700,Reference," 	2,010 ",2011-2015
"Yukon River at Pilot Station, AK",15565447,15565447,Coastal rivers," 	321,000 ",2002-2005; 2008-2015
"Kahakuloa Stream near Honokohau, Maui, HI",16618000,16618000,Reference, 	3 ,2011-2015
"Mississippi River above Vicksburg, MS4",322023090544500,Computed4,Large inland rivers," 	1,131,100 ",2010-2015
"Sugar Creek at New Palestine, IN",394340085524601,03361650,Agriculture, 	93 ,1993-2015
"Big Thompson bl Moraine Park nr Estes Park, CO",402114105350101,402114105350101,Reference, 	40 ,2006-2015
USGS Cooperative Water Program Sites,,,,,
"Grand River near Sumner, MO*",06902000,06902000,Large inland rivers," 	6,880 ",1980-2015
"Osage River near St. Thomas, MO*",06926510,06926510,Large inland rivers," 	14,584 ",1980-2015
"Red River near Alexandria, LA*",07355500,Red River at Alexandria (U.S. Army Corps of Engineers)2,Large inland rivers," 	67,500 ",1980-2015
"1Other than historical Mississippi River sites, data are considered to be from the start of the National Water-Quality Assessment Program (1991 forward).",,,,,
2Streamflow data obtained from multiple sources through time; more details are available at http://toxics.usgs.gov/pubs/of-2007-1080/red_river_flow_calc.html.,,,,,
3Missing streamflow data are estimated by interpolating among known values.,,,,,
4Streamflow is computed by substracting daily streamflow from U.S. Geological Survey station identification number ( ID) 07288955 from daily flows from USGS station ID 07289000.,,,,,
5Real-time nitrate data are collected at this site.,,,,,
6Streamflow data after water year 2007 are collected by the Colorado Division of Water Resources,,,,,
